Sample.ID,SpeciesCode,Tree,Core,Terrace,Sample.ID.2,No.Tips,BlastID,Ectomycorrhizal,Trait.ForagingType,Trait.ForagingType,Trait.Hydrophobicity,Trait.Rhizomorphs,Trait.HostTree,SequencingNotes,,,,Alt ID,Alt Seq File,note,note
T5_1B,3,1,B,5,T01-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,9-7B_4A_Rnd2_3_F08_F_2.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces muricatus (97%),y,shortdistance,,n,n,Picea,9-8C_GenPri,low qual,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-1A_GenPri_Plate1_H08_2.ab1,,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-1D_GenPri_Rnd2.ab1,,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-2B_GenPri_Plate1_D09.ab1,,,,,,,
T5_1A,23,1,A,5,T01-A,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,2-2G_GenPri_Plate1_H09.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-7E_GenPri_Plate8_D07.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-7H_GenPri_Plate8_G07.ab1,,,,,,,
T5_1B,23,1,B,5,T01-B,1,Elaphomyces sp.,y,shortdistance,,n,n,Picea,9-8H_GenPri_Plate8_F08.ab1,,,,,,,
T5_1B,9,1,B,5,T01-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,9-7G_GenPri_Plate8_F07.ab1,,,,,,,
T5_1B,9,1,B,5,T01-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,9-8A_4B_Rnd2_2_G04_F_2.ab1,,,,,,,
T5_1B,65,1,B,5,T01-B,1,Uncultured Atheliaceae,y,,,,,,9-7C_GenPri_Plate8_C07.ab1,,,,,,,
T5_1A,8,1,A,5,T01-A,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,2-2H_GenPri_Plate1_A10.ab1,,,,,,,
T5_1B,8,1,B,5,T01-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,9-8F_GenPri_Plate8_D08.ab1,,,,,,,
T5_1B,8,1,B,5,T01-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,9-8G_GenPri_Plate8_E08.ab1,,,,,,,
T5_1A,32,1,A,5,T01-A,1,Uncultured fungus (Basidiomycota),y,,,,,,2-2E_4B_Plate10_A09.ab1
T5_1A,32,1,A,5,T01-A,1,Uncultured fungus (Basidiomycota),y,,,,,,2-2E_GenPri_Plate1_F09_2.ab1
T5_1A,35,1,A,5,T01-A,1,Uncultured Leotiomycetes/Ascomycota/Pezizomycotina/Helotiales/Sordariomycetes,y,,,,,,2-1E_4A_Rnd2_2_G08_F_2.ab1
T5_2B,3,2,B,5,T02-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,11-2F_GenPri_Plate10_D01.ab1
T5_2A,3,2,A,5,T02-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,6-1B_GenPri_Plate5_E04.ab1
T5_2B,36,2,B,5,T02-B,1,Helotiaceae/Sordariomycetes/Phialophora/Magnaporthaceae,y,,,,,,11-2B_GenPri_Plate9_H12.ab1
T5_2B,5,2,B,5,T02-B,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,11-2H_GenPri_Plate10_F01.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-1H_GenPri_Plate5_B05.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2A_GenPri_Plate5_C05.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2B_4B_Plate5_D05.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2C_4B_Rnd2.ab1
T5_2A,9,2,A,5,T02-A,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,6-2D_4B_Plate5_F05.ab1
T5_2A,58,2,A,5,T02-A,1,Uncultured Mortierella,y,,,,,,6-2F_GenPri_Plate5_H05.ab1
T5_3A,25,3,A,5,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-10B_GenPri_Plate1_D08.ab1
T5_3A,25,3,A,5,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-10C_GenPri_Plate1_E08.ab1
T5_3A,25,3,A,5,T03-A,1,Cortinarius croceocaeruleus,y,mediumdistancefringe,,y,y,Pinus,1-9E_GenPri_Plate1_G07.ab1
T4_12B,15,12,B,4,T12-B,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,9-9E_4B_Plate8_B09.ab1
T4_12B,93,12,B,4,T12-B,1,Sistotrema muscicola (90% match),y,mediumdistancefringe,,,y,Castanea,9-9H_GenPri
T4_12B,41,12,B,4,T12-B,1,Uncultured Cortinarius (likely acutus),y,mediumdistancefringe,,y,y,Pinus,9-9G_GenPri_Plate8_D09.ab1
T4_13A,3,13,A,4,T13-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,2-9F_GenPri_Plate2_G03.ab1
T4_13B,3,13,B,4,T13-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,8-11C_GenPri_Plate7_G11.ab1
T4_13B,45,13,B,4,T13-B,1,Cortinarius acutovelatus (or pseudoduracinus),y,mediumdistancefringe,,y,y,Pinus,8-11F_4B_Plate7_B12.ab1
T4_13A,4,13,A,4,T13-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,2-10A_GenPri_Plate2_B04.ab1
T4_13A,4,13,A,4,T13-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,2-10D_GenPri_Plate2_C04.ab1
T4_13A,4,13,A,4,T13-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,2-10E_GenPri_Plate2_D04.ab1
T4_13A,4,13,A,4,T13-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,2-10F_4B_Rnd2_1_G06_F_2.ab1,,,,,,
T4_13A,4,13,A,4,T13-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,2-10G_GenPri_Plate2_F04.ab1,,,,,,
T4_13A,4,13,A,4,T13-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,2-10H_GenPri_Plate2_G04a.ab1,,,,,,
T4_13A,4,13,A,4,T13-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,2-9B_GenPri_Plate2_D03a.ab1,,,,,,
T4_13A,4,13,A,4,T13-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,2-9C_4B_Plate2_E03a.ab1,,,,,,
T4_13A,4,13,A,4,T13-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,2-9G_GenPri_Plate2_H03.ab1,,,,,,
T4_13A,4,13,A,4,T13-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,2-9H_4B_Rnd2_1_F06_F_2.ab1,,,,34,7-4H_GenPri_Plate6_A07.ab1,low quality
T4_13B,7,13,B,4,T13-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-11B_GenPri_Plate7_F11.ab1,,,,,,
T4_13B,7,13,B,4,T13-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-12D_GenPri_Plate8_B01.ab1,,,,,,
T4_13B,7,13,B,4,T13-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-12G_4B_Plate8_C01.ab1,,,,,,
T4_13B,56,13,B,4,T13-B,1,Cortinarius vibratilis,y,mediumdistancefringe,,y,y,Pinus,8-11A_GenPri_Plate7_E11.ab1,,,,,,
T4_13B,150,13,B,4,T13-B,1,Hydnum rufescens,y,mediumdistancefringe,,,y,Picea,8-11E_GenPri,low qual,,,,,
T4_13B,39,13,B,4,T13-B,1,Meliniomyces variabilis,y,,,,,,8-11G_4A,low qual,,,,,
T4_13B,39,13,B,4,T13-B,1,Meliniomyces variabilis,y,,,,,,8-12F_GenPri_Rnd2.ab1,,,,,,
T4_13B,5,13,B,4,T13-B,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,8-12A_GenPri_Plate7_E12.ab1,,,,,,
T4_13B,6,13,B,4,T13-B,1,Russula cremoricolor,y,contact,,n,n,Pinus,8-12C_4B_Rnd2_2_B04_F_2.ab1,,,,,,
T4_13A,35,13,A,4,T13-A,1,Uncultured Leotiomycetes/Ascomycota/Pezizomycotina/Helotiales/Sordariomycetes,y,,,,,,2-9D_GenPri_Plate2_F03.ab1,
T3_14A,3,14,A,3,T14-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,3-2A_4A_Rnd2_2_E10_F.ab1,
T3_14B,3,14,B,3,T14-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,8-5B_GenPri_Plate7_D06.ab1,
T3_14B,3,14,B,3,T14-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,8-6B_GenPri_Rnd2.ab1,
T3_14A,4,14,A,3,T14-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-1B_GenPri_Plate2_A07a.ab1,
T3_14A,4,14,A,3,T14-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-1C_GenPri_Plate2_B07a.ab1,
T3_14A,4,14,A,3,T14-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-2G_4B_Plate2_D08a.ab1,
T3_14A,7,14,A,3,T14-A,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,3-1D_GenPri_Plate2_C07.ab1,
T3_14B,154,14,B,3,T14-B,1,Dermocybe crocea/cinnamomeolutea (<85%),y,mediumdistancefringe,,y,y,Pinus,8-6D_GenPri,low qual
T3_14B,60,14,B,3,T14-B,1,Gymnopilus sp (96% match),y,,,,,,8-6F_4B_Rnd2_2_C03_F_2.ab1,
T3_14B,70,14,B,3,T14-B,1,Helotiales sp.,y,,,,,,8-5A_GenPri_Plate7_C06a.ab1,
T3_14A,28,14,A,3,T14-A,1,Rhizopogon evadens,y,longdistance,mediumdistancesmooth,m,y,Pinus,3-1G_GenPri_Plate2_D07.ab1,
T3_14A,28,14,A,3,T14-A,1,Rhizopogon evadens,y,longdistance,mediumdistancesmooth,m,y,Pinus,3-2D_GenPri_Plate2_A08a.ab1,
T3_14A,28,14,A,3,T14-A,1,Rhizopogon evadens,y,longdistance,mediumdistancesmooth,m,y,Pinus,3-2E_GenPri_Plate2_B08a.ab1,
T3_14A,15,14,A,3,T14-A,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,3-1A_4B_Plate10_D09.ab1,
T3_14A,15,14,A,3,T14-A,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,3-1A_GenPri_Plate2_H06.ab1,
T3_14B,15,14,B,3,T14-B,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,8-5G_GenPri_Plate7_A07.ab1,,,,,,
T3_14B,15,14,B,3,T14-B,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,8-5H_4B_Plate7_B07.ab1,,,,,,
T3_14A,12,14,A,3,T14-A,1,Uncultured Agaricomycetes,y,,,,,,3-1H_GenPri_Plate2_E07.ab1,,,,,,
T3_14A,12,14,A,3,T14-A,1,Uncultured Agaricomycetes,y,,,,,,3-2H_4B_Plate10_G12.ab1,,,,,,
T3_14A,12,14,A,3,T14-A,1,Uncultured Agaricomycetes,y,,,,,,3-2H_GenPri_Plate2_E08.ab1,,,,,,
T3_14B,12,14,B,3,T14-B,1,Uncultured Agaricomycetes,y,,,,,,8-5C_4B_Plate7_E06.ab1,,,,,,
T3_14B,12,14,B,3,T14-B,1,Uncultured Agaricomycetes,y,,,,,,8-5E_GenPri_Plate7_G06.ab1,,,,,,
T3_14B,12,14,B,3,T14-B,1,Uncultured Agaricomycetes,y,,,,,,8-5F_GenPri_Plate7_H06.ab1,,,,,,
T3_14B,12,14,B,3,T14-B,1,Uncultured Agaricomycetes,y,,,,,,8-6A_4B_Plate7_C07.ab1,,,,,,
T3_14B,12,14,B,3,T14-B,1,Uncultured Agaricomycetes,y,,,,,,8-6C_GenPri_Plate7_D07.ab1,,,,,,
T3_15B,3,15,B,3,T15-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,7-8E_GenPri_Plate6_C10.ab1,,,,,,
T3_15A,30,15,A,3,T15-A,1,Hygrophorus hypothejus,y,mediumdistancefringe,shortdistance,n,m,Picea,1-5C_4B_Plate1_G04.ab1,,,,,,
T3_15A,30,15,A,3,T15-A,1,Hygrophorus hypothejus,y,mediumdistancefringe,shortdistance,n,m,Picea,1-5H_GenPri_Plate1_B05.ab1,,,,,,
T3_15A,30,15,A,3,T15-A,1,Hygrophorus hypothejus,y,mediumdistancefringe,shortdistance,n,m,Picea,1-6B_GenPri_Plate1_C05.ab1,,,,,,
T3_15A,30,15,A,3,T15-A,1,Hygrophorus hypothejus,y,mediumdistancefringe,shortdistance,n,m,Picea,1-6D_GenPri_Plate1_D05.ab1,,,,,,
T3_15A,30,15,A,3,T15-A,1,Hygrophorus hypothejus,y,mediumdistancefringe,shortdistance,n,m,Picea,1-6E_GenPri_Plate1_E05.ab1,,,,88,8-8B_4B,con
T3_15A,30,15,A,3,T15-A,1,Hygrophorus hypothejus,y,mediumdistancefringe,shortdistance,n,m,Picea,1-6H_GenPri_Plate1_G05.ab1,
T3_15B,14,15,B,3,T15-B,1,Uncultured Atheliaceae,y,,,,,,7-7B_GenPri_Plate6_B09.ab1,
T3_15B,14,15,B,3,T15-B,1,Uncultured Atheliaceae,y,,,,,,7-8A_GenPri_Plate6_H09a.ab1,
T3_16A,3,16,A,3,T16-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,4-4C_GenPri_Plate3_G08.ab1,
T3_16B,3,16,B,3,T16-B,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,8-7D_GenPri_Plate7_C08.ab1,
T3_16B,7,16,B,3,T16-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-8B_4B_Plate7_H08.ab1,
T3_16B,7,16,B,3,T16-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-8D_4B_Plate7_A09.ab1,
T3_16B,7,16,B,3,T16-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-8G_GenPri_Plate7_D09.ab1,
T3_16B,7,16,B,3,T16-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-8H_GenPri_Plate7_E09.ab1,
T3_16A,50,16,A,3,T16-A,1,Rhizoscyphus sp.,y,,,,,,4-4E_GenPri_Plate3_A09.ab1,
T3_16B,12,16,B,3,T16-B,1,Uncultured Agaricomycetes,y,,,,,,8-7G_GenPri_Plate7_E08.ab1,
T3_17A,137,17,A,3,T17-A,1,Byssocorticium sp (<95%),y,shortdistance,,,n,Fagus,6-4G_4B,low qual
T3_17A,17,17,A,3,T17-A,1,Cortinarius junghuhnii,y,mediumdistancefringe,,y,y,Pinus,6-3A_GenPri_Plate5_C06.ab1,
T3_17A,17,17,A,3,T17-A,1,Cortinarius junghuhnii,y,mediumdistancefringe,,y,y,Pinus,6-3B_GenPri_Plate5_D06.ab1,
T3_17A,17,17,A,3,T17-A,1,Cortinarius junghuhnii,y,mediumdistancefringe,,y,y,Pinus,6-3C_4B_Plate5_E06.ab1,
T3_17A,17,17,A,3,T17-A,1,Cortinarius junghuhnii,y,mediumdistancefringe,,y,y,Pinus,6-3G_GenPri_Plate5_A07.ab1,
T3_17A,17,17,A,3,T17-A,1,Cortinarius junghuhnii,y,mediumdistancefringe,,y,y,Pinus,6-3H_GenPri_Plate5_B07.ab1
T3_17A,17,17,A,3,T17-A,1,Cortinarius junghuhnii,y,mediumdistancefringe,,y,y,Pinus,6-4B_GenPri_Plate5_D07.ab1
T3_17B,7,17,B,3,T17-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-1D_GenPri_Plate7_H02.ab1
T3_17B,7,17,B,3,T17-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-1D_GenPri_Rnd2_1_F03_F.ab1
T3_17B,7,17,B,3,T17-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-1G_GenPri_Plate7_C03.ab1
T3_17B,7,17,B,3,T17-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,8-2B_GenPri_Plate7_F03.ab1
T3_17B,42,17,B,3,T17-B,1,Phellodon tomentosus (but only 90% similar),y,mediumdistancemat,,,y,Picea,8-1E_GenPri_Plate7_A03.ab1
T3_17B,42,17,B,3,T17-B,1,Phellodon tomentosus (but only 90% similar),y,mediumdistancemat,,,y,Picea,8-1H_GenPri_Plate7_D03.ab1
T3_17B,42,17,B,3,T17-B,1,Phellodon tomentosus (but only 90% similar),y,mediumdistancemat,,,y,Picea,8-2C_GenPri_Plate7_G03.ab1
T3_17B,42,17,B,3,T17-B,1,Phellodon tomentosus (but only 90% similar),y,mediumdistancemat,,,y,Picea,8-2D_GenPri_Plate7_H03.ab1
T3_17A,5,17,A,3,T17-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,6-3D_GenPri_Plate5_F06.ab1
T3_17A,5,17,A,3,T17-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,6-3E_GenPri_Plate5_G06.ab1
T3_17A,5,17,A,3,T17-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,6-3F_GenPri_Plate5_H06.ab1
T3_17A,5,17,A,3,T17-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,6-4E_GenPri_Plate5_G07.ab1
T3_17A,5,17,A,3,T17-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,6-4F_GenPri_Plate5_H07.ab1
T3_17B,5,17,B,3,T17-B,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,8-1A_GenPri_Plate7_E02.ab1
T3_17B,5,17,B,3,T17-B,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,8-1C_GenPri_Plate7_G02.ab1,,,,,,
T3_17B,28,17,B,3,T17-B,1,Rhizopogon evadens,y,longdistance,mediumdistancesmooth,m,y,Pinus,8-2F_GenPri_Plate7_B04.ab1,,,,,,
T3_17B,9,17,B,3,T17-B,1,Suillus tomentosus,y,longdistance,,y,y,Pinus,8-2H_GenPri_Plate7_D04.ab1,,,,,,
T3_17A,83,17,A,3,T17-A,1,Tricholoma luteomaculosum,y,mediumdistancefringe,,y,y,Pinus,6-4C_GenPri,,,,,,
T3_17A,12,17,A,3,T17-A,1,Uncultured Agaricomycetes,y,,,,,,6-4D_GenPri_Plate5_F07.ab1,,,,,,
T3_18A,3,18,A,3,T18-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,5-10E_GenPri_Plate5_A02.ab1,,,,,,
T3_18A,3,18,A,3,T18-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,5-10G_GenPri_Plate5_C02.ab1,,,,,,
T3_18A,3,18,A,3,T18-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,5-9A_GenPri_Plate4_G12.ab1,,,,,,
T3_18A,3,18,A,3,T18-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,5-9D_GenPri_Plate5_B01.ab1,,,,,,
T3_18A,3,18,A,3,T18-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,5-9E_GenPri_Plate5_C01.ab1,,,,,,
T3_18A,3,18,A,3,T18-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,5-9F_GenPri_Plate5_D01.ab1,,,,,,
T3_18A,3,18,A,3,T18-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,5-9G_GenPri_Plate5_E01.ab1,,,,,,
T3_18B,32,18,B,3,T18-B,1,Uncultured fungus (Basidiomycota),y,,,,,,11-10G_GenPri_Plate10_D08.ab1,,,,,,
T3_18B,35,18,B,3,T18-B,1,Uncultured Leotiomycetes/Ascomycota/Pezizomycotina/Helotiales/Sordariomycetes,y,,,,,,11-9D_GenPri_Plate10_E07align consensus sequence,,,,,,
T3_19B,7,19,B,3,T19-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,6-8D_4B_Plate10_E11align consensus sequence,,,,,,
T3_19B,39,19,B,3,T19-B,1,Meliniomyces variabilis (<96%),y,,,,,,6-7H_4B,con,,,131,5-12D_GenPri,low qual
T3_19A,15,19,A,3,T19-A,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,5-12A_GenPri_Plate5_D03.ab1,
T3_19A,15,19,A,3,T19-A,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,5-12H_GenPri_Plate5_C04.ab1,
T3_19A,34,19,A,3,T19-A,1,Uncultured Ascomycota (likely Oidiodendron),y,,,,,,5-12D_4A_Rnd2_3_B04_F.ab1,
T3_19B,32,19,B,3,T19-B,1,Uncultured fungus (Basidiomycota),y,,,,,,6-7D_GenPri_Plate5_F10 consensus sequence,
T3_19A,35,19,A,3,T19-A,1,Uncultured Leotiomycetes/Ascomycota/Pezizomycotina/Helotiales/Sordariomycetes,y,,,,,,5-11H_GenPri_Plate5_C03 consensus sequence,
T3_19B,35,19,B,3,T19-B,1,Uncultured Leotiomycetes/Ascomycota/Pezizomycotina/Helotiales/Sordariomycetes,y,,,,,,6-8A_GenPri_Plate5_C11.ab1,
T2_22A,36,22,A,2,T22-A,1,Ascomycete - Helotiaceae/Phialophora/etc,y,,,,,,3-9H_4B_Plate3_A03.ab1,
T2_22A,118,22,A,2,T22-A,1,Cortinarius idahoensis (<90%),y,mediumdistancefringe,,y,y,Pinus,3-10C_GenPri,low qual
T2_22A,17,22,A,2,T22-A,1,Cortinarius junghuhnii,y,mediumdistancefringe,,y,y,Pinus,3-10G_GenPri_Plate3_H03.ab1,
T2_22A,17,22,A,2,T22-A,1,Cortinarius junghuhnii,y,mediumdistancefringe,,y,y,Pinus,3-10H_4B_Plate3_A04.ab1,
T2_22A,17,22,A,2,T22-A,1,Cortinarius junghuhnii,y,mediumdistancefringe,,y,y,Pinus,3-9G_4B_Plate3_H02.ab1,
T2_22A,4,22,A,2,T22-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-9A_4B_Plate3_C02.ab1,
T2_22B,7,22,B,2,T22-B,1,Cortinarius semisanguineus,y,mediumdistancefringe,,y,y,Pinus,7-12B_GenPri_Plate7_G01.ab1,
T2_22A,100,22,A,2,T22-A,1,Dermataceae sp.,m-helotiales,,,,,,3-10D_GenPri,med qual
T2_22A,36,22,A,2,T22-A,1,Phialophora/Pezizomycotina/Ascomycota/ectomycorrhizal/Leotiomycetes,y,,,,,,3-9H_4B_Plate10_A10_2.ab1,
T2_22A,5,22,A,2,T22-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,3-10A_4B_Plate3_B03.ab1,
T2_22A,5,22,A,2,T22-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,3-10B_4B_Plate3_C03.ab1
T2_22A,5,22,A,2,T22-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,3-10F_GenPri_Plate3_G03.ab1
T2_22A,5,22,A,2,T22-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,3-9C_GenPri_Plate3_D02.ab1
T2_22A,5,22,A,2,T22-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,3-9D_GenPri_Plate3_E02.ab1
T2_22A,5,22,A,2,T22-A,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,3-9F_GenPri_Plate3_G02.ab1
T2_22B,5,22,B,2,T22-B,1,Piloderma olivaceum/fallax(?),y,mediumdistancefringe,,,y,Picea,7-11A_GenPri_Plate6_F12.ab1
T2_22B,15,22,B,2,T22-B,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,7-11G_GenPri_Rnd2_1_D03_F_2.ab1
T2_22B,15,22,B,2,T22-B,1,Rhizopogon salebrosus,y,longdistance,mediumdistancesmooth,m,y,Pinus,7-11H_4B_Plate7_E01.ab1
T2_22B,8,22,B,2,T22-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,7-11F_GenPri_Plate7_C01.ab1
T2_22B,8,22,B,2,T22-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,7-12A_GenPri_Plate7_F01.ab1
T2_22B,8,22,B,2,T22-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,7-12F_GenPri_Plate7_B02.ab1
T2_22B,8,22,B,2,T22-B,1,Uncultured ectomycorrhiza - poss Craterellus tubaeformis,y,shortdistance,,n,n,Pinus,7-12H_GenPri_Plate7_D02.ab1
T2_23A,3,23,A,2,T23-A,1,Cenococcum geophilum,y,shortdistance,,n,n,Pinus,4-12E_4B_Plate10_H10a.ab1
T2_23A,6,23,A,2,T23-A,1,Russula cremoricolor,y,contact,,n,n,Pinus,4-11G_4B_Plate4_B04a.ab1
T2_23B,6,23,B,2,T23-B,1,Russula cremoricolor,y,contact,,n,n,Pinus,6-12C_GenPri_Plate6_F02.ab1
T2_23B,14,23,B,2,T23-B,1,Uncultured Atheliaceae,y,,,,,,6-11F_GenPri_Plate6_A02.ab1
T2_23A,79,23,A,2,T23-A,1,Uncultured fungus (HQ260268),y,,,,,,4-11B_GenPri,
T2_23A,24,23,A,2,T23-A,1,Uncultured Helotiales (likely Meliniomyces),y,,,,,,4-12A_GenPri_Plate4_D04.ab1,
T2_24B,145,24,B,2,T24-B,1,Chroogomphus vinicolor,y,contact,pickaback,,n,Pinus,7-4A_4B,low qual
T2_24A,17,24,A,2,T24-A,1,Cortinarius junghuhnii,y,mediumdistancefringe,,y,y,Pinus,3-8E_4B_Plate3_G01.ab1,
T2_24A,4,24,A,2,T24-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-7B_GenPri_Plate2_F12.ab1,
T2_24A,4,24,A,2,T24-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-7C_4B_Rnd2_1_F07_F.ab1,
T2_24A,4,24,A,2,T24-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-7D_4B_Rnd2_1_G07_F_2.ab1,
T2_24A,4,24,A,2,T24-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-7G_4B_Plate3_B01.ab1,
T2_24A,4,24,A,2,T24-A,1,Cortinarius obtusus,y,mediumdistancefringe,,y,y,Pinus,3-7H_GenPri_Plate3_C01.ab1,
